Position,Player,WS
 C,Rudy Gobert,10.64
 C,Karl-Anthony Towns,10.1
 C,Nikola Jokic,9.2
 C,DeAndre Jordan,9.02
 C,Hassan Whiteside,7.9
 F,Isaiah Hartenstein,0.8
 F,Dragan Bender,0.15000000000000002
 G,Allen Crabbe,2.48
 G,Vince Carter,1.7400000000000002
 G,Allonzo Trier,0.7
 PF,Giannis Antetokounmpo,11.239999999999998
 PF,Anthony Davis,10.34
 PF,LaMarcus Aldridge,8.379999999999999
 PF,Al Horford,7.2
 PF,Bam Adebayo,6.366666666666667
 PG,Damian Lillard,10.780000000000001
 PG,Stephen Curry,9.919999999999998
 PG,Russell Westbrook,9.66
 PG,Chris Paul,9.64
 PG,Kyle Lowry,9.08
 SF,Kevin Durant,12.1
 SF,LeBron James,11.440000000000001
 SF,Jimmy Butler,9.639999999999999
 SF,Kawhi Leonard,9.059999999999999
 SF,DeMar DeRozan,8.2
 SG,James Harden,14.080000000000002
 SG,Paul George,8.2
 SG,Luka Doncic,8.1
 SG,Klay Thompson,6.325
 SG,Bradley Beal,6.160000000000001
